"timeMillisSpent","moveType","bestScoreDiff"
53488,"ChangeMove(Lecture.room)","0hard/1soft"
53651,"ChangeMove(Lecture.room)","0hard/1soft"
53743,"ChangeMove(Lecture.room)","0hard/1soft"
53863,"ChangeMove(Lecture.room)","0hard/1soft"
53863,"ChangeMove(Lecture.room)","0hard/1soft"
53899,"ChangeMove(Lecture.room)","0hard/22soft"
53900,"ChangeMove(Lecture.room)","0hard/2soft"
53901,"ChangeMove(Lecture.room)","0hard/2soft"
53901,"ChangeMove(Lecture.room)","0hard/1soft"
53911,"ChangeMove(Lecture.room)","0hard/1soft"
54766,"ChangeMove(Lecture.room)","0hard/8soft"
54769,"ChangeMove(Lecture.room)","0hard/1soft"
54770,"ChangeMove(Lecture.room)","0hard/1soft"
54771,"ChangeMove(Lecture.room)","0hard/1soft"
54773,"ChangeMove(Lecture.room)","0hard/1soft"
54776,"ChangeMove(Lecture.room)","0hard/1soft"
54779,"ChangeMove(Lecture.room)","0hard/4soft"
54779,"ChangeMove(Lecture.room)","0hard/1soft"
54780,"ChangeMove(Lecture.room)","0hard/1soft"
55124,"ChangeMove(Lecture.room)","0hard/1soft"
55178,"ChangeMove(Lecture.room)","0hard/1soft"
55195,"ChangeMove(Lecture.room)","0hard/3soft"
55196,"ChangeMove(Lecture.room)","0hard/1soft"
55197,"ChangeMove(Lecture.room)","0hard/1soft"
55293,"ChangeMove(Lecture.room)","0hard/2soft"
55306,"ChangeMove(Lecture.room)","0hard/1soft"
55307,"ChangeMove(Lecture.room)","0hard/2soft"
55397,"ChangeMove(Lecture.room)","0hard/24soft"
55398,"ChangeMove(Lecture.room)","0hard/2soft"
55399,"ChangeMove(Lecture.room)","0hard/4soft"
55669,"ChangeMove(Lecture.room)","0hard/1soft"
55671,"ChangeMove(Lecture.room)","0hard/2soft"
55672,"ChangeMove(Lecture.room)","0hard/1soft"
55672,"ChangeMove(Lecture.room)","0hard/1soft"
56349,"ChangeMove(Lecture.room)","0hard/6soft"
56365,"ChangeMove(Lecture.room)","0hard/1soft"
56373,"ChangeMove(Lecture.room)","0hard/1soft"
56376,"ChangeMove(Lecture.room)","0hard/1soft"
56376,"ChangeMove(Lecture.room)","0hard/1soft"
56436,"ChangeMove(Lecture.room)","0hard/1soft"
56437,"ChangeMove(Lecture.room)","0hard/1soft"
56447,"ChangeMove(Lecture.room)","0hard/2soft"
56455,"ChangeMove(Lecture.room)","0hard/2soft"
56616,"ChangeMove(Lecture.room)","0hard/1soft"
57481,"ChangeMove(Lecture.room)","0hard/1soft"
57488,"ChangeMove(Lecture.room)","0hard/2soft"
57497,"ChangeMove(Lecture.room)","0hard/4soft"
57498,"ChangeMove(Lecture.room)","0hard/3soft"
57505,"ChangeMove(Lecture.room)","0hard/1soft"
57510,"ChangeMove(Lecture.room)","0hard/2soft"
57511,"ChangeMove(Lecture.room)","0hard/1soft"
57511,"ChangeMove(Lecture.room)","0hard/2soft"
57527,"ChangeMove(Lecture.room)","0hard/1soft"
57528,"ChangeMove(Lecture.room)","0hard/3soft"
57528,"ChangeMove(Lecture.room)","0hard/1soft"
57530,"ChangeMove(Lecture.room)","0hard/2soft"
57576,"ChangeMove(Lecture.room)","0hard/1soft"
57577,"ChangeMove(Lecture.room)","0hard/1soft"
57577,"ChangeMove(Lecture.room)","0hard/2soft"
57579,"ChangeMove(Lecture.room)","0hard/2soft"
57579,"ChangeMove(Lecture.room)","0hard/1soft"
57580,"ChangeMove(Lecture.room)","0hard/2soft"
57581,"ChangeMove(Lecture.room)","0hard/3soft"
57583,"ChangeMove(Lecture.room)","0hard/1soft"
57584,"ChangeMove(Lecture.room)","0hard/1soft"
57592,"ChangeMove(Lecture.room)","0hard/3soft"
58065,"ChangeMove(Lecture.room)","0hard/1soft"
58072,"ChangeMove(Lecture.room)","0hard/1soft"
58073,"ChangeMove(Lecture.room)","0hard/1soft"
58135,"ChangeMove(Lecture.room)","0hard/1soft"
58138,"ChangeMove(Lecture.room)","0hard/1soft"
58145,"ChangeMove(Lecture.room)","0hard/1soft"
58150,"ChangeMove(Lecture.room)","0hard/1soft"
58420,"ChangeMove(Lecture.room)","0hard/1soft"
58421,"ChangeMove(Lecture.room)","0hard/1soft"
58422,"ChangeMove(Lecture.room)","0hard/1soft"
58424,"ChangeMove(Lecture.room)","0hard/3soft"
58432,"ChangeMove(Lecture.room)","0hard/1soft"
58445,"ChangeMove(Lecture.room)","0hard/3soft"
58450,"ChangeMove(Lecture.room)","0hard/2soft"
58453,"ChangeMove(Lecture.room)","0hard/2soft"
58454,"ChangeMove(Lecture.room)","0hard/1soft"
58463,"ChangeMove(Lecture.room)","0hard/2soft"
58466,"ChangeMove(Lecture.room)","0hard/2soft"
58473,"ChangeMove(Lecture.room)","0hard/4soft"
58619,"ChangeMove(Lecture.room)","0hard/1soft"
58622,"ChangeMove(Lecture.room)","0hard/5soft"
58623,"ChangeMove(Lecture.room)","0hard/1soft"
58701,"ChangeMove(Lecture.room)","0hard/1soft"
58707,"ChangeMove(Lecture.room)","0hard/1soft"
58708,"ChangeMove(Lecture.room)","0hard/2soft"
58709,"ChangeMove(Lecture.room)","0hard/4soft"
58712,"ChangeMove(Lecture.room)","0hard/3soft"
58712,"ChangeMove(Lecture.room)","0hard/2soft"
58725,"ChangeMove(Lecture.room)","0hard/2soft"
58725,"ChangeMove(Lecture.room)","0hard/2soft"
58800,"ChangeMove(Lecture.room)","0hard/1soft"
58805,"ChangeMove(Lecture.room)","0hard/2soft"
58837,"ChangeMove(Lecture.room)","0hard/3soft"
58851,"ChangeMove(Lecture.room)","0hard/3soft"
58852,"ChangeMove(Lecture.room)","0hard/5soft"
58874,"ChangeMove(Lecture.room)","0hard/3soft"
58875,"ChangeMove(Lecture.room)","0hard/2soft"
58879,"ChangeMove(Lecture.room)","0hard/1soft"
58972,"ChangeMove(Lecture.room)","0hard/2soft"
59024,"ChangeMove(Lecture.room)","0hard/3soft"
59030,"ChangeMove(Lecture.room)","0hard/1soft"
59061,"ChangeMove(Lecture.room)","0hard/2soft"
59061,"ChangeMove(Lecture.room)","0hard/4soft"
59068,"ChangeMove(Lecture.room)","0hard/1soft"
59092,"ChangeMove(Lecture.room)","0hard/3soft"
59093,"ChangeMove(Lecture.room)","0hard/4soft"
59145,"ChangeMove(Lecture.room)","0hard/1soft"
59155,"ChangeMove(Lecture.room)","0hard/2soft"
59159,"ChangeMove(Lecture.room)","0hard/5soft"
59160,"ChangeMove(Lecture.room)","0hard/1soft"
59166,"ChangeMove(Lecture.room)","0hard/3soft"
59208,"ChangeMove(Lecture.room)","0hard/1soft"
59216,"ChangeMove(Lecture.room)","0hard/3soft"
59252,"ChangeMove(Lecture.room)","0hard/3soft"
59266,"ChangeMove(Lecture.room)","0hard/2soft"
59294,"ChangeMove(Lecture.room)","0hard/5soft"
59305,"ChangeMove(Lecture.room)","0hard/2soft"
59328,"ChangeMove(Lecture.room)","0hard/3soft"
59332,"ChangeMove(Lecture.room)","0hard/1soft"
59451,"ChangeMove(Lecture.room)","0hard/1soft"
59459,"ChangeMove(Lecture.room)","0hard/5soft"
59506,"ChangeMove(Lecture.room)","0hard/4soft"
59558,"ChangeMove(Lecture.room)","0hard/3soft"
59633,"ChangeMove(Lecture.room)","0hard/4soft"
59643,"ChangeMove(Lecture.room)","0hard/7soft"
