"timeMillisSpent","moveType","bestScoreDiff"
53352,"ChangeMove(Lecture.room)","0hard/1soft"
53752,"ChangeMove(Lecture.room)","0hard/2soft"
53763,"ChangeMove(Lecture.room)","0hard/1soft"
53784,"ChangeMove(Lecture.room)","0hard/2soft"
53786,"ChangeMove(Lecture.room)","0hard/1soft"
53787,"ChangeMove(Lecture.room)","0hard/1soft"
53788,"ChangeMove(Lecture.room)","0hard/2soft"
54330,"ChangeMove(Lecture.room)","0hard/2soft"
54330,"ChangeMove(Lecture.room)","0hard/3soft"
54331,"ChangeMove(Lecture.room)","0hard/5soft"
54331,"ChangeMove(Lecture.room)","0hard/2soft"
54348,"ChangeMove(Lecture.room)","0hard/2soft"
54351,"ChangeMove(Lecture.room)","0hard/1soft"
54351,"ChangeMove(Lecture.room)","0hard/1soft"
54363,"ChangeMove(Lecture.room)","0hard/1soft"
54366,"ChangeMove(Lecture.room)","0hard/4soft"
54367,"ChangeMove(Lecture.room)","0hard/1soft"
54368,"ChangeMove(Lecture.room)","0hard/3soft"
54370,"ChangeMove(Lecture.room)","0hard/5soft"
54371,"ChangeMove(Lecture.room)","0hard/5soft"
54620,"ChangeMove(Lecture.room)","0hard/1soft"
54621,"ChangeMove(Lecture.room)","0hard/2soft"
54621,"ChangeMove(Lecture.room)","0hard/3soft"
54627,"ChangeMove(Lecture.room)","0hard/1soft"
55542,"ChangeMove(Lecture.room)","0hard/1soft"
55545,"ChangeMove(Lecture.room)","0hard/3soft"
55801,"ChangeMove(Lecture.room)","0hard/2soft"
55824,"ChangeMove(Lecture.room)","0hard/1soft"
55827,"ChangeMove(Lecture.room)","0hard/3soft"
55830,"ChangeMove(Lecture.room)","0hard/5soft"
55838,"ChangeMove(Lecture.room)","0hard/1soft"
55889,"ChangeMove(Lecture.room)","0hard/1soft"
55890,"ChangeMove(Lecture.room)","0hard/5soft"
55891,"ChangeMove(Lecture.room)","0hard/5soft"
55904,"ChangeMove(Lecture.room)","0hard/4soft"
55929,"ChangeMove(Lecture.room)","0hard/1soft"
55966,"ChangeMove(Lecture.room)","0hard/1soft"
56092,"ChangeMove(Lecture.room)","0hard/3soft"
56095,"ChangeMove(Lecture.room)","0hard/1soft"
56114,"ChangeMove(Lecture.room)","0hard/1soft"
56375,"ChangeMove(Lecture.room)","0hard/2soft"
56402,"ChangeMove(Lecture.room)","0hard/4soft"
56412,"ChangeMove(Lecture.room)","0hard/1soft"
56918,"ChangeMove(Lecture.room)","0hard/1soft"
56976,"ChangeMove(Lecture.room)","0hard/2soft"
57015,"ChangeMove(Lecture.room)","0hard/4soft"
57023,"ChangeMove(Lecture.room)","0hard/2soft"
57144,"ChangeMove(Lecture.room)","0hard/1soft"
57153,"ChangeMove(Lecture.room)","0hard/2soft"
57155,"ChangeMove(Lecture.room)","0hard/2soft"
57175,"ChangeMove(Lecture.room)","0hard/5soft"
57252,"ChangeMove(Lecture.room)","0hard/1soft"
57267,"ChangeMove(Lecture.room)","0hard/3soft"
57338,"ChangeMove(Lecture.room)","0hard/1soft"
57382,"ChangeMove(Lecture.room)","0hard/1soft"
57967,"ChangeMove(Lecture.room)","0hard/3soft"
58151,"ChangeMove(Lecture.room)","0hard/1soft"
58268,"ChangeMove(Lecture.room)","0hard/4soft"
58469,"ChangeMove(Lecture.room)","0hard/6soft"
58588,"ChangeMove(Lecture.room)","0hard/1soft"
58914,"ChangeMove(Lecture.room)","0hard/6soft"
