"timeMillisSpent","moveType","bestScoreDiff"
2265,"ChangeMove(Lecture.room)","0hard/2soft"
2267,"ChangeMove(Lecture.room)","0hard/9soft"
2271,"ChangeMove(Lecture.room)","0hard/13soft"
2272,"ChangeMove(Lecture.room)","0hard/2soft"
2462,"ChangeMove(Lecture.room)","0hard/2soft"
2463,"ChangeMove(Lecture.room)","0hard/2soft"
2472,"ChangeMove(Lecture.room)","0hard/5soft"
2487,"ChangeMove(Lecture.room)","0hard/12soft"
2536,"ChangeMove(Lecture.room)","0hard/2soft"
2550,"ChangeMove(Lecture.room)","0hard/33soft"
2564,"ChangeMove(Lecture.room)","0hard/6soft"
2575,"ChangeMove(Lecture.room)","0hard/6soft"
2575,"ChangeMove(Lecture.room)","0hard/3soft"
2722,"ChangeMove(Lecture.room)","0hard/26soft"
2730,"ChangeMove(Lecture.room)","0hard/5soft"
2735,"ChangeMove(Lecture.room)","0hard/2soft"
2735,"ChangeMove(Lecture.room)","0hard/1soft"
2736,"ChangeMove(Lecture.room)","0hard/1soft"
2736,"ChangeMove(Lecture.room)","0hard/25soft"
2821,"ChangeMove(Lecture.room)","0hard/1soft"
2881,"ChangeMove(Lecture.room)","0hard/11soft"
2965,"ChangeMove(Lecture.room)","0hard/5soft"
2966,"ChangeMove(Lecture.room)","0hard/5soft"
2967,"ChangeMove(Lecture.room)","0hard/1soft"
2967,"ChangeMove(Lecture.room)","0hard/2soft"
2976,"ChangeMove(Lecture.room)","0hard/8soft"
3005,"ChangeMove(Lecture.room)","0hard/15soft"
3005,"ChangeMove(Lecture.room)","0hard/1soft"
3006,"ChangeMove(Lecture.room)","0hard/3soft"
3034,"ChangeMove(Lecture.room)","0hard/5soft"
3079,"ChangeMove(Lecture.room)","0hard/11soft"
3125,"ChangeMove(Lecture.room)","0hard/18soft"
3125,"ChangeMove(Lecture.room)","0hard/3soft"
3261,"ChangeMove(Lecture.room)","0hard/7soft"
3263,"ChangeMove(Lecture.room)","0hard/1soft"
3564,"ChangeMove(Lecture.room)","0hard/6soft"
3657,"ChangeMove(Lecture.room)","0hard/40soft"
3658,"ChangeMove(Lecture.room)","0hard/1soft"
3658,"ChangeMove(Lecture.room)","0hard/1soft"
3661,"ChangeMove(Lecture.room)","0hard/25soft"
3851,"ChangeMove(Lecture.room)","0hard/3soft"
3883,"ChangeMove(Lecture.room)","0hard/2soft"
3888,"ChangeMove(Lecture.room)","0hard/2soft"
3918,"ChangeMove(Lecture.room)","0hard/19soft"
3920,"ChangeMove(Lecture.room)","0hard/7soft"
4022,"ChangeMove(Lecture.room)","0hard/31soft"
4203,"ChangeMove(Lecture.room)","0hard/2soft"
4204,"ChangeMove(Lecture.room)","0hard/1soft"
4210,"ChangeMove(Lecture.room)","0hard/25soft"
4211,"ChangeMove(Lecture.room)","0hard/2soft"
4282,"ChangeMove(Lecture.room)","0hard/15soft"
4282,"ChangeMove(Lecture.room)","0hard/1soft"
4317,"ChangeMove(Lecture.room)","0hard/6soft"
4317,"ChangeMove(Lecture.room)","0hard/1soft"
4318,"ChangeMove(Lecture.room)","0hard/3soft"
4358,"ChangeMove(Lecture.room)","0hard/19soft"
4681,"ChangeMove(Lecture.room)","0hard/2soft"
4686,"ChangeMove(Lecture.room)","0hard/1soft"
4686,"ChangeMove(Lecture.room)","0hard/3soft"
4701,"ChangeMove(Lecture.room)","0hard/1soft"
4702,"ChangeMove(Lecture.room)","0hard/3soft"
4703,"ChangeMove(Lecture.room)","0hard/1soft"
4740,"ChangeMove(Lecture.room)","0hard/1soft"
4764,"ChangeMove(Lecture.room)","0hard/3soft"
4809,"ChangeMove(Lecture.room)","0hard/2soft"
4810,"ChangeMove(Lecture.room)","0hard/2soft"
4886,"ChangeMove(Lecture.room)","0hard/3soft"
4889,"ChangeMove(Lecture.room)","0hard/1soft"
4889,"ChangeMove(Lecture.room)","0hard/1soft"
4889,"ChangeMove(Lecture.room)","0hard/1soft"
4889,"ChangeMove(Lecture.room)","0hard/4soft"
4892,"ChangeMove(Lecture.room)","0hard/3soft"
4987,"ChangeMove(Lecture.room)","0hard/1soft"
5021,"ChangeMove(Lecture.room)","0hard/1soft"
5057,"ChangeMove(Lecture.room)","0hard/4soft"
5122,"ChangeMove(Lecture.room)","0hard/17soft"
5440,"ChangeMove(Lecture.room)","0hard/1soft"
5497,"ChangeMove(Lecture.room)","0hard/23soft"
5877,"ChangeMove(Lecture.room)","0hard/1soft"
5925,"ChangeMove(Lecture.room)","0hard/2soft"
5948,"ChangeMove(Lecture.room)","0hard/2soft"
5985,"ChangeMove(Lecture.room)","0hard/1soft"
6004,"ChangeMove(Lecture.room)","0hard/3soft"
6004,"ChangeMove(Lecture.room)","0hard/1soft"
6005,"ChangeMove(Lecture.room)","0hard/2soft"
6129,"ChangeMove(Lecture.room)","0hard/1soft"
6264,"ChangeMove(Lecture.room)","0hard/1soft"
6281,"ChangeMove(Lecture.room)","0hard/1soft"
6284,"ChangeMove(Lecture.room)","0hard/2soft"
6315,"ChangeMove(Lecture.room)","0hard/1soft"
6318,"ChangeMove(Lecture.room)","0hard/1soft"
6344,"ChangeMove(Lecture.room)","0hard/3soft"
6346,"ChangeMove(Lecture.room)","0hard/2soft"
6370,"ChangeMove(Lecture.room)","0hard/1soft"
6371,"ChangeMove(Lecture.room)","0hard/1soft"
6371,"ChangeMove(Lecture.room)","0hard/1soft"
6396,"ChangeMove(Lecture.room)","0hard/2soft"
6439,"ChangeMove(Lecture.room)","0hard/1soft"
6463,"ChangeMove(Lecture.room)","0hard/1soft"
6463,"ChangeMove(Lecture.room)","0hard/4soft"
6582,"ChangeMove(Lecture.room)","0hard/1soft"
6582,"ChangeMove(Lecture.room)","0hard/3soft"
6583,"ChangeMove(Lecture.room)","0hard/3soft"
6687,"ChangeMove(Lecture.room)","0hard/1soft"
6729,"ChangeMove(Lecture.room)","0hard/2soft"
6898,"ChangeMove(Lecture.room)","0hard/1soft"
6899,"ChangeMove(Lecture.room)","0hard/4soft"
6929,"ChangeMove(Lecture.room)","0hard/1soft"
7132,"ChangeMove(Lecture.room)","0hard/2soft"
7182,"ChangeMove(Lecture.room)","0hard/4soft"
7282,"ChangeMove(Lecture.room)","0hard/3soft"
7314,"ChangeMove(Lecture.room)","0hard/1soft"
7416,"ChangeMove(Lecture.room)","0hard/1soft"
7467,"ChangeMove(Lecture.room)","0hard/1soft"
7560,"ChangeMove(Lecture.room)","0hard/1soft"
7602,"ChangeMove(Lecture.room)","0hard/1soft"
7604,"ChangeMove(Lecture.room)","0hard/1soft"
7626,"ChangeMove(Lecture.room)","0hard/1soft"
7690,"ChangeMove(Lecture.room)","0hard/2soft"
7746,"ChangeMove(Lecture.room)","0hard/1soft"
7754,"ChangeMove(Lecture.room)","0hard/2soft"
7828,"ChangeMove(Lecture.room)","0hard/1soft"
7953,"ChangeMove(Lecture.room)","0hard/1soft"
7988,"ChangeMove(Lecture.room)","0hard/1soft"
8042,"ChangeMove(Lecture.room)","0hard/1soft"
8096,"ChangeMove(Lecture.room)","0hard/1soft"
8097,"ChangeMove(Lecture.room)","0hard/3soft"
8154,"ChangeMove(Lecture.room)","0hard/3soft"
8320,"ChangeMove(Lecture.room)","0hard/2soft"
8334,"ChangeMove(Lecture.room)","0hard/3soft"
8444,"ChangeMove(Lecture.room)","0hard/1soft"
8482,"ChangeMove(Lecture.room)","0hard/3soft"
8696,"ChangeMove(Lecture.room)","0hard/1soft"
8697,"ChangeMove(Lecture.room)","0hard/2soft"
8909,"ChangeMove(Lecture.room)","0hard/2soft"
8970,"ChangeMove(Lecture.room)","0hard/4soft"
9018,"ChangeMove(Lecture.room)","0hard/5soft"
9437,"ChangeMove(Lecture.room)","0hard/2soft"
9437,"ChangeMove(Lecture.room)","0hard/4soft"
9777,"ChangeMove(Lecture.room)","0hard/1soft"
9945,"ChangeMove(Lecture.room)","0hard/5soft"
9945,"ChangeMove(Lecture.room)","0hard/7soft"
10644,"ChangeMove(Lecture.room)","0hard/2soft"
10749,"ChangeMove(Lecture.room)","0hard/1soft"
10795,"ChangeMove(Lecture.room)","0hard/2soft"
10836,"ChangeMove(Lecture.room)","0hard/3soft"
11147,"ChangeMove(Lecture.room)","0hard/1soft"
11246,"ChangeMove(Lecture.room)","0hard/5soft"
11394,"ChangeMove(Lecture.room)","0hard/2soft"
11534,"ChangeMove(Lecture.room)","0hard/2soft"
11914,"ChangeMove(Lecture.room)","0hard/1soft"
11936,"ChangeMove(Lecture.room)","0hard/1soft"
11961,"ChangeMove(Lecture.room)","0hard/4soft"
11966,"ChangeMove(Lecture.room)","0hard/1soft"
12101,"ChangeMove(Lecture.room)","0hard/1soft"
12323,"ChangeMove(Lecture.room)","0hard/1soft"
12325,"ChangeMove(Lecture.room)","0hard/2soft"
12378,"ChangeMove(Lecture.room)","0hard/1soft"
12617,"ChangeMove(Lecture.room)","0hard/1soft"
12641,"ChangeMove(Lecture.room)","0hard/2soft"
12642,"ChangeMove(Lecture.room)","0hard/1soft"
12876,"ChangeMove(Lecture.room)","0hard/1soft"
13040,"ChangeMove(Lecture.room)","0hard/1soft"
13091,"ChangeMove(Lecture.room)","0hard/1soft"
13097,"ChangeMove(Lecture.room)","0hard/2soft"
13105,"ChangeMove(Lecture.room)","0hard/3soft"
13169,"ChangeMove(Lecture.room)","0hard/1soft"
13242,"ChangeMove(Lecture.room)","0hard/3soft"
13375,"ChangeMove(Lecture.room)","0hard/4soft"
14255,"ChangeMove(Lecture.room)","0hard/4soft"
14589,"ChangeMove(Lecture.room)","0hard/2soft"
